verse;English;Basque;gloss;marker;allomorph;case;role;noun-class;remarks_morph;remarks_sem;text;author;year;century;period;place;dialect;
(Mark 6,3);Is not this the carpenter, the son of Mary, the brother of James, and Joses, and of Juda, and Simon? and are not his sisters here with us? And they were offended at him.;Ez ote da zurgina, Mariaren semea eta Jakobe, Joses, Judas eta Simonen anaia? Eta horren arrebak ez ote dira hemen gure artean?» Eta horrengatik ezin zuten sinetsi haren baitan.;;gatik;;CAUS;Cause;connector;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,6);And he marvelled because of their unbelief.;Eta heien fedegabeaz harritu zen.;;z;;INS;Cause;abstract;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,8);"And commanded them that they should take nothing for their journey, save a staff only; no scrip, no bread, no money in their purse:";"Bideko deusik ez hartzeko manatu zioten, makila baizik: ez ogirik, ez zakurik, ez eta gerrikoan dirurik; ";;ko;;REL;Purpose;event;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,11);And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. ;nunbait ongi etorri egiten ez badauzuete, eta entzun nahi ere ez, handik joaitean, oinetako errautsa inarrosazue, heien kontrako lekukotzat».;;tzat;;ESS;Quality;occupation;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,11);And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. ;nunbait ongi etorri egiten ez badauzuete, eta entzun nahi ere ez, handik joaitean, oinetako errautsa inarrosazue, heien kontrako lekukotzat».;;ren_kontra;;postp;Maleficiary;pronoun;–ko is added to the BEN marker.;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,14);"And king Herod heard of him; (for his name was spread abroad:) and he said, That John the Baptist was risen from the dead, and therefore mighty works do shew forth themselves in him.";"Herodes erregeak Jesusen berri jakin zuen, haren omena zabaldu baitzen. Batzuk zioten: «Joanes Bataiatzailea hiletarik piztu da; hortako ditu mirakuluak egiten». ";;ko;;REL;Cause;state_of_affairs;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,17);For Herod himself had sent forth and laid hold upon John, and bound him in prison for Herodias' sake, his brother Philip's wife: for he had married her.;Alabainan, Herodesek Joanes arrastatu eta presondegian ezarri zuen estekan, Herodiada, Filipe bere anaiaren emazteagatik, hunekin ezkondu baitzen bera. ;;gatik;;CAUS;Cause;person;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,17);For Herod himself had sent forth and laid hold upon John, and bound him in prison for Herodias' sake, his brother Philip's wife: for he had married her.;Alabainan, Herodesek Joanes arrastatu eta presondegian ezarri zuen estekan, Herodiada, Filipe bere anaiaren emazteagatik, hunekin ezkondu baitzen bera. ;;NOT_APPLY;;;;;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,19);"Therefore Herodias had a quarrel against him, and would have killed him; but she could not:";"Horrengatik Herodiadak hastio zuen, eta hil nahiko zuen; bainan ezin, ";;gatik;;CAUS;Cause;state_of_affairs;connector;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,26);"And the king was exceeding sorry; yet for his oath's sake, and for their sakes which sat with him, he would not reject her.";Ilun-iluna jarri zen erregea, bainan mahaikideen aitzinean egin zinarengatik ez zion ukatu nahi ukan. ;;gatik;;CAUS;Motive;abstract;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 6,37);Shall we go and buy two hundred pennyworth of bread, and give them to eat?;Berrehun denarioren ogia erostera joanen ote gira, haueri jatera emaiteko?;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,5);Then the Pharisees and scribes asked him, Why walk not thy disciples according to the tradition of the elders, but eat bread with unwashen hands?;Horiek hola, farisauek eta lege-irakasleek Jesusi galdegin zioten: –Zure dizipuluek zergatik ez dute zaharren ohidura begiratzen? Nolaz jaten dute esku lohituekin?;;gatik;;CAUS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,5);Then the Pharisees and scribes asked him, Why walk not thy disciples according to the tradition of the elders, but eat bread with unwashen hands?;Horiek hola, farisauek eta lege-irakasleek Jesusi galdegin zioten: –Zure dizipuluek zergatik ez dute zaharren ohidura begiratzen? Nolaz jaten dute esku lohituekin?;;z;;INS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,9);And he said unto them, Full well ye reject the commandment of God, that ye may keep your own tradition.;Erran zioten ere: –Jainkoaren manamendua arbuiatzen duzue zihauren ohiduraren begiratzeko! ;;ko;;REL;Purpose;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,11);DOES NOT APPLY;Zuek, aldiz, diozue: norbaitek aitari edo amari erraiten badio: «Zuri eman behar nauzukeena Korban da (erran nahi baita, Jainkoarentzat opari);;rentzat;;BEN;Beneficiary;God;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,13);Making the word of God of none effect through your tradition, which ye have delivered: and many such like things do ye.;hola Jainkoaren hitza deuseztatzen duzue, zihauren arteko ohiduragatik. Eta holako ainitz egiten duzue.;;gatik;;CAUS;Cause;abstract;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 7,29);"And he said unto her, For this saying go thy way; the devil is gone out of thy daughter.";"Orduan, Jesusek: –Ele horrengatik, zoazi; debrua zure alabaganik atera da.";;gatik;;CAUS;Cause;abstract;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,12);And he sighed deeply in his spirit, and saith, Why doth this generation seek after a sign? verily I say unto you, There shall no sign be given unto this generation.;Jesusek, hasperen luze bat eginez, erran zuen: «Oraiko jendea zergatik dabil seinale eske? Egiaz diozuet: oraiko jendeari ez zaio seinalerik emanen».;;gatik;;CAUS;Cause;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,17);And when Jesus knew it, he saith unto them, Why reason ye, because ye have no bread? perceive ye not yet, neither understand? have ye your heart yet hardened?;Oharturik, Jesusek erran zioten: –Zergatik ari zirezte ogirik ez duzuela? Ez duzue oraino aditzen, ez duzue konprenitzen? Nolaz zirezte hain burugogorrak? ;;gatik;;CAUS;Motive;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,17);And when Jesus knew it, he saith unto them, Why reason ye, because ye have no bread? perceive ye not yet, neither understand? have ye your heart yet hardened?;Oharturik, Jesusek erran zioten: –Zergatik ari zirezte ogirik ez duzuela? Ez duzue oraino aditzen, ez duzue konprenitzen? Nolaz zirezte hain burugogorrak? ;;z;;INS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,19);When I brake the five loaves among five thousand, how many baskets full of fragments took ye up? They say unto him, Twelve.;bost mila gizonentzat bost ogiak hautsi nituenean, zenbat zaretra puska ereman zinuten?;;rentzat;;BEN;Beneficiary;people;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,20);And when the seven among four thousand, how many baskets full of fragments took ye up? And they said, Seven.;Eta lau mila gizonentzat zazpi ogiak hautsi nituenean, zenbat saskitra puska ereman zinuten?;;rentzat;;BEN;Beneficiary;people;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,35);"For whosoever will save his life shall lose it; but whosoever shall lose his life for my sake and the gospel's, the same shall save it.";"Ezen bere bizia salbatu nahi duenak galduko du; bere bizia neregatik eta berrionagatik galduko duenak, aldiz, salbatuko du. ";;gatik;;CAUS;Motive;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,35);"For whosoever will save his life shall lose it; but whosoever shall lose his life for my sake and the gospel's, the same shall save it.";"Ezen bere bizia salbatu nahi duenak galduko du; bere bizia neregatik eta berrionagatik galduko duenak, aldiz, salbatuko du. ";;gatik;;CAUS;Motive;abstract;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,36);For what shall it profit a man, if he shall gain the whole world, and lose his own soul?;Zertarako du jendeak mundu guziaren irabaztea, bere bizia galtzen badu?;;rako;;DEST;Motive;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,38);"Whosoever therefore shall be ashamed of me and of my words in this adulterous and sinful generation; of him also shall the Son of man be ashamed, when he cometh in the glory of his Father with the holy angels.";Beraz, oraiko jende fideltasungabe eta bekatari hunen erdian, norbait nitaz eta nere mezuaz ahalgetzen bada, gizonaren semea ere hartaz ahalgetuko da bere Aitaren aintzan aingeru sainduekin etorriko denean».;;z;;INS;Cause;pronoun;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,38);"Whosoever therefore shall be ashamed of me and of my words in this adulterous and sinful generation; of him also shall the Son of man be ashamed, when he cometh in the glory of his Father with the holy angels.";Beraz, oraiko jende fideltasungabe eta bekatari hunen erdian, norbait nitaz eta nere mezuaz ahalgetzen bada, gizonaren semea ere hartaz ahalgetuko da bere Aitaren aintzan aingeru sainduekin etorriko denean».;;z;;INS;Cause;abstract;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 8,38);"Whosoever therefore shall be ashamed of me and of my words in this adulterous and sinful generation; of him also shall the Son of man be ashamed, when he cometh in the glory of his Father with the holy angels.";Beraz, oraiko jende fideltasungabe eta bekatari hunen erdian, norbait nitaz eta nere mezuaz ahalgetzen bada, gizonaren semea ere hartaz ahalgetuko da bere Aitaren aintzan aingeru sainduekin etorriko denean».;;z;;INS;Cause;pronoun;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,5);"And Peter answered and said to Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elias.";Petrik Jesusi erran zion: «Irakasle jauna, zein goxoki gauden hemen! Egin ditzagun hiru etxola: bat zuretzat, beste bat Moisentzat, eta beste bat Eliasentzat».;;rentzat;;BEN;Beneficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,5);"And Peter answered and said to Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elias.";Petrik Jesusi erran zion: «Irakasle jauna, zein goxoki gauden hemen! Egin ditzagun hiru etxola: bat zuretzat, beste bat Moisentzat, eta beste bat Eliasentzat».;;rentzat;;BEN;Beneficiary;person;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,5);"And Peter answered and said to Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elias.";Petrik Jesusi erran zion: «Irakasle jauna, zein goxoki gauden hemen! Egin ditzagun hiru etxola: bat zuretzat, beste bat Moisentzat, eta beste bat Eliasentzat».;;rentzat;;BEN;Beneficiary;person;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,11);And they asked him, saying, Why say the scribes that Elias must first come?;Eta galdegin zioten: –Lege-irakasleek zergatik diote Eliasek etorri behar duela lehenik?;;gatik;;CAUS;Motive;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,12);"And he answered and told them, Elias verily cometh first, and restoreth all things; and how it is written of the Son of man, that he must suffer many things, and be set at nought.";–Bai, Elias etorriko da lehenik, eta denak beren hartan ezarriko ditu. Orduan Liburu Sainduek nolaz diote gizonaren semeak ainitz sofritu behar duela eta gutietsia izan? ;;z;;INS;Cause;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,28);And when he was come into the house, his disciples asked him privately, Why could not we cast him out?;Jesus etxerat sartu zenean, dizipuluek berex galdatu zioten: –Eta guk, zergatik ez dugu haizatu ahal ukan?;;gatik;;CAUS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 9,37);Whosoever shall receive one of such children in my name, receiveth me: and whosoever shall receive me, receiveth not me, but him that sent me.;"–Holako haurretarik bati neregatik ongi etorri egiten dionak, nihauri daut egiten; eta ongi etorri egiten dautanak, ez daut nihauri egiten, baizik ni igorri nauenari.";;gatik;;CAUS;Behalf;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,7);"For this cause shall a man leave his father and mother, and cleave to his wife;";horrengatik, gizonak bere aitamak utziko ditu eta bere emazteari elkartuko zaio,;;gatik;;CAUS;Cause;state_of_affairs;connector;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,11);And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.;"Jesusek erran zioten: –Bere emaztea utzi eta beste batekin ezkontzen denak adulterioa egiten du lehenaren alderat;";;ren_aldera;ren_alderat;CAUS;Maleficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,18);And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God.;Jesusek erran zion: –Zergatik erraiten dautazu ona? Nehor ez da onik Jainkoa baizik. ;;gatik;;CAUS;Cause;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,28);Then Peter began to say unto him, Lo, we have left all, and have followed thee.;Petrik Jesusi erran zion: –Horra, guk denak utzi ditugu zuri jarraikitzeko.;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,29);And Jesus answered and said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and the gospel's,;Jesusek erran zuen: –Egiaz diozuet: enegatik eta berrionagatik etxea, edo anaiak, arrebak, ama, aita, haurrak edo lurrak uzten dituenak ;;gatik;;CAUS;Motive;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,29);And Jesus answered and said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and the gospel's,;Jesusek erran zuen: –Egiaz diozuet: enegatik eta berrionagatik etxea, edo anaiak, arrebak, ama, aita, haurrak edo lurrak uzten dituenak ;;gatik;;CAUS;Motive;abstract;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,35);And James and John, the sons of Zebedee, come unto him, saying, Master, we would that thou shouldest do for us whatsoever we shall desire.;Jakobe eta Joanik, Zebedeoren semeek, Jesusenganat hurbildu eta erran zioten: –Irakasle jauna, eskatuko dauzuguna, guretzat egin dezazun nahi dugu.;;rentzat;;BEN;Beneficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,36);And he said unto them, What would ye that I should do for you?;Jesusek galdegin zioten: –Zer nahi duzue egin dezatan zuentzat?;;rentzat;;BEN;Beneficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,40);"But to sit on my right hand and on my left hand is not mine to give; but it shall be given to them for whom it is prepared.";"bainan nere eskuinean eta ezkerrean jartzea, ez da nere esku horren emaitea; Jainkoak norentzat prestatua duen, eta heieri emanen diote.";;rentzat;;BEN;Beneficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,42);"But Jesus called them to him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles exercise lordship over them; and their great ones exercise authority upon them.";Dei egin eta Jesusek erran zioten: «Dakizuenaz, nazioneen buruzagitzat dauzkatenek herriak zapatzen dituzte beren nagusigoaz, eta handi-mandiek beren botereaz.;;tzat;;ESS;Quality;occupation;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 10,45);For even the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.;Zeren gizonaren semea ez baita etorri zerbitzatua izaitera, zerbitzatzera bai, eta bere bizia guzientzat ordain-sari emaitera».;;ren;;GEN;Cause;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
